frente;verso;etiqueta
Porque é que a última meia onda de um bloco não tem aresta de fecho?;A seguir a ela vem silêncio, e silêncio não cruza limiar. São 303 onde há 304 — perde-se o byte de paridade.;cassete::l6
Até que ruído aguenta o descodificador?;Medido com 8 sementes: sigma 0,10 (SNR ~20 dB) passa 8/8. Sigma 0,15 passa 3/8.;cassete::l6
Até que corte de agudos aguenta o descodificador?;Medido: 800 Hz, num sinal com componentes até 2047 Hz. Filtrar não move os cruzamentos.;cassete::l6
Qual é o critério de sucesso do descodificador?;Os bytes serem idênticos. «Encontrou os blocos» não chega — há sabotagens que dão tamanhos certos e bytes errados.;cassete::l6
Se o formato é imune à amplitude, porque é que era preciso acertar no volume?;O Spectrum detetava transições com comparador de limiar quase fixo, sem seguidor de envelope. O formato é imune, a implementação não era.;cassete::l7
Porque é que não se pode construir uma B-tree numa cassete?;Não há endereços. «Lê a página p» não é uma operação cara — não está definida. O contador conta voltas do carreto.;cassete::l7
Quanto leva um lado de uma C60 como dados do Spectrum?;Cerca de 300 KiB, a 171 byte/s durante 1800 segundos.;cassete::l7
O que é que a disquete trouxe que matou a cassete como meio de dados?;Endereços. Passou a haver sistema de ficheiros e carregamento parcial. É diferença de natureza, não de grau.;cassete::l7
O que ganha e o que perde um turbo loader?;Ganha débito (400/800 T dão 365 byte/s contra 171). Perde margem: a onda sobe para 4375 Hz e o comprimento na fita cai para 10,9 micrómetros.;cassete::l7
Porque é que a cassete venceu os formatos concorrentes em 1963-66?;A Philips passou a licenciá-la gratuitamente a partir de 1966, sob pressão da Sony. Formato aberto contra formatos fechados.;cassete::l7
